date,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-02-21,0.622,5.392,0.03,1.13,2.121,0.0,3410.0,0.0,14.0,39.35,0.0
2021-02-22,0.77,5.392,0.0,1.13,2.144,0.0,2783.8,0.0,40.0,39.35,0.0
2021-02-23,0.741,5.392,0.0,1.11,2.094,0.0,2827.5,0.0,49.0,22.22,0.0
2021-02-24,0.711,5.392,0.0,1.1,1.809,0.0,2544.2,0.0,73.0,22.22,0.0
2021-02-25,0.681,5.392,0.0,1.09,1.591,0.0,2334.4,0.0,99.0,22.22,0.0
2021-02-26,0.652,5.392,0.0,1.09,1.57,0.0,2408.5,0.0,132.0,22.22,0.0
2021-02-27,0.77,5.392,0.0,1.09,1.491,0.001,1935.9,0.0,170.0,22.22,0.0
2021-02-28,0.622,5.392,0.0,1.09,1.45,0.0,2331.0,0.0,194.0,62.5,0.0
2021-03-01,0.563,5.392,0.0,1.1,1.473,0.0,2616.4,0.0,223.0,62.5,0.01
2021-03-02,0.563,5.392,0.0,1.11,1.613,0.0,2866.6,0.0,256.0,62.5,0.01
2021-03-03,0.622,5.392,0.0,1.12,1.856,0.0,2983.3,0.0,291.0,62.5,0.02
2021-03-04,0.533,5.392,0.0,1.12,2.016,0.0,3781.4,0.0,307.0,62.5,0.03
2021-03-05,0.77,5.392,0.0,1.14,2.054,0.0,2666.7,0.0,297.0,62.5,0.04
2021-03-06,0.681,5.392,0.0,1.13,2.107,0.0,3091.9,0.0,275.0,62.5,0.06
2021-03-07,0.8,5.392,0.0,1.12,2.128,0.0,2660.6,0.0,264.0,36.57,0.07
2021-03-08,0.8,5.392,0.0,1.12,2.108,0.0,2635.2,0.0,254.0,36.57,0.1
2021-03-09,0.77,5.392,0.0,1.11,2.032,0.0,2637.9,0.0,252.0,36.57,0.12
2021-03-10,0.8,5.392,0.0,1.11,1.744,0.0,2180.2,0.0,232.0,36.57,0.15
2021-03-11,0.829,5.392,0.0,1.11,1.496,0.001,1803.2,0.0,223.0,36.57,0.18
2021-03-12,0.711,5.392,0.0,1.11,1.345,0.001,1891.2,0.0,216.0,22.22,0.21
2021-03-13,0.711,5.392,0.0,1.1,1.193,0.001,1677.5,0.0,221.0,22.22,0.23
2021-03-14,0.741,5.392,0.0,1.11,1.122,0.001,1515.0,0.0,223.0,22.22,0.24
2021-03-15,0.681,5.392,0.0,1.11,1.133,0.001,1662.8,0.01,247.0,22.22,0.26
2021-03-16,0.711,5.392,0.0,1.12,1.087,0.001,1529.0,0.01,269.0,22.22,0.29
2021-03-17,0.533,5.392,0.0,1.13,1.041,0.001,1953.3,0.02,290.0,22.22,0.32
2021-03-18,0.8,5.392,0.0,1.16,0.996,0.001,1245.0,0.03,311.0,22.22,0.35
2021-03-19,0.652,5.392,0.0,1.15,0.95,0.001,1457.5,0.04,353.0,22.22,0.35
2021-03-20,0.889,5.392,0.0,1.16,0.941,0.001,1058.3,0.06,369.0,22.22,0.36
2021-03-21,0.948,5.392,0.0,1.14,0.932,0.001,982.7,0.07,398.0,22.22,0.36
2021-03-22,0.889,5.392,0.0,1.12,0.922,0.001,1037.6,0.1,409.0,22.22,0.37
2021-03-23,1.066,5.392,0.0,1.11,0.863,0.001,809.1,0.12,425.0,22.22,0.4
2021-03-24,1.244,5.392,0.0,1.08,0.909,0.001,730.7,0.15,471.0,22.22,0.45
2021-03-25,1.037,5.392,0.0,1.06,0.956,0.001,921.6,0.18,509.0,22.22,0.48
2021-03-26,1.096,5.392,0.0,1.04,1.025,0.001,935.5,0.21,574.0,22.22,0.52
2021-03-27,0.859,5.392,0.0,1.03,1.052,0.001,1224.2,0.23,596.0,22.22,0.54
2021-03-28,0.918,5.392,0.0,1.02,1.061,0.001,1154.7,0.24,584.0,22.22,0.56
2021-03-29,0.978,5.392,0.0,1.0,1.023,0.001,1046.2,0.26,663.0,22.22,0.59
2021-03-30,0.8,5.392,0.0,0.98,1.052,0.001,1314.8,0.29,752.0,22.22,0.63
2021-03-31,0.741,5.392,0.0,0.97,1.046,0.001,1413.0,0.32,847.0,22.22,0.66
2021-04-01,0.652,5.392,0.0,0.96,1.035,0.001,1588.6,0.35,938.0,22.22,0.7
2021-04-02,0.592,5.392,0.0,0.96,0.929,0.001,1567.7,0.35,860.0,22.22,0.75
2021-04-03,0.563,5.392,0.0,0.97,0.887,0.001,1576.6,0.36,852.0,22.22,0.78
2021-04-04,0.415,5.392,0.0,1.0,0.864,0.0,2082.5,0.36,845.0,22.22,0.79
2021-04-05,0.859,5.392,0.0,1.01,0.843,0.001,980.9,0.37,735.0,22.22,0.83
2021-04-06,1.007,5.392,0.0,1.03,0.793,0.001,787.3,0.4,714.0,22.22,0.89
2021-04-07,1.6,5.392,0.0,1.04,0.711,0.002,444.5,0.45,729.0,22.22,0.96
2021-04-08,1.777,5.392,0.0,1.0,0.732,0.002,411.6,0.48,782.0,22.22,1.04
2021-04-09,2.074,5.392,0.0,0.96,0.778,0.003,375.4,0.52,940.0,22.22,1.12
2021-04-10,2.163,5.392,0.0,0.92,0.825,0.003,381.6,0.54,1005.0,22.22,1.15
2021-04-11,2.251,5.392,0.0,0.88,0.849,0.003,377.0,0.56,1082.0,22.22,1.16
2021-04-12,1.866,5.392,0.0,0.84,0.87,0.002,465.9,0.59,1276.0,22.22,1.18
2021-04-13,1.718,5.392,0.0,0.81,0.908,0.002,528.4,0.63,1379.0,22.22,1.25
2021-04-14,1.066,5.392,0.0,0.78,0.973,0.001,912.7,0.66,1406.0,22.22,1.32
2021-04-15,0.889,5.392,0.0,0.77,0.938,0.001,1055.5,0.7,1421.0,22.22,1.43
2021-04-16,0.592,5.392,0.0,0.76,0.926,0.001,1563.2,0.75,1484.0,22.22,1.53
2021-04-17,0.622,5.392,0.0,0.75,0.881,0.001,1416.7,0.78,1515.0,22.22,1.57
2021-04-18,0.385,5.392,0.0,0.75,0.86,0.0,2232.6,0.79,1471.0,22.22,1.61
2021-04-19,0.296,5.392,0.0,0.75,0.885,0.0,2986.0,0.83,1452.0,22.22,1.7
2021-04-20,0.296,5.392,0.0,0.76,0.882,0.0,2977.6,0.89,1472.0,22.22,1.81
2021-04-21,0.267,5.392,0.0,0.78,0.858,0.0,3217.0,0.96,1532.0,22.22,1.93
2021-04-22,0.267,5.392,0.0,0.8,0.85,0.0,3185.8,1.04,1581.0,22.22,2.05
2021-04-23,0.267,5.392,0.0,0.83,0.851,0.0,3191.3,1.12,1647.0,22.22,2.19
2021-04-24,0.178,5.392,0.0,0.86,0.878,0.0,4941.7,1.15,1635.0,22.22,2.25
2021-04-25,0.148,5.392,0.0,0.91,0.879,0.0,5938.4,1.16,1644.0,22.22,2.28
2021-04-26,0.355,5.392,0.0,0.97,0.832,0.0,2340.1,1.18,1499.0,22.22,2.39
2021-04-27,0.296,5.392,0.0,0.97,0.794,0.0,2680.2,1.25,1526.0,22.22,2.51
2021-04-28,0.385,5.392,0.0,0.99,0.753,0.001,1955.3,1.32,1550.0,22.22,2.63
2021-04-29,0.385,5.392,0.0,1.01,0.758,0.001,1967.7,1.43,1612.0,22.22,2.75
2021-04-30,0.385,5.392,0.0,1.03,0.774,0.0,2010.8,1.53,1661.0,22.22,2.9
2021-05-01,0.504,5.392,0.0,1.05,0.761,0.001,1510.1,1.57,1687.0,22.22,2.96
2021-05-02,0.622,5.392,0.0,1.06,0.773,0.001,1243.0,1.61,1721.0,22.22,3.0
2021-05-03,0.415,5.392,0.0,1.07,0.781,0.001,1883.5,1.7,1973.0,22.22,3.07
2021-05-04,0.592,5.392,0.0,1.08,0.803,0.001,1355.3,1.81,2080.0,22.22,3.19
2021-05-05,0.592,5.392,0.0,1.07,0.864,0.001,1457.5,1.93,2192.0,22.22,3.32
2021-05-06,0.622,5.392,0.0,1.06,0.847,0.001,1361.7,2.05,2268.0,22.22,3.46
2021-05-07,0.622,5.392,0.0,1.06,0.832,0.001,1337.0,2.19,2371.0,22.22,3.61
2021-05-08,0.711,5.392,0.0,1.06,0.85,0.001,1196.0,2.25,2421.0,22.22,3.69
2021-05-09,0.652,5.392,0.0,1.04,0.821,0.001,1259.3,2.28,2415.0,22.22,3.72
2021-05-10,0.622,5.392,0.0,1.02,0.823,0.001,1323.3,2.39,2452.0,22.22,3.84
2021-05-11,0.415,5.392,0.0,1.02,0.824,0.001,1986.0,2.51,2497.0,22.22,3.99
2021-05-12,0.326,5.392,0.0,1.01,0.816,0.0,2506.0,2.63,2511.0,22.22,4.15
2021-05-13,0.326,5.392,0.0,1.01,0.82,0.0,2516.9,2.75,2532.0,22.22,4.3
2021-05-14,0.326,5.392,0.0,1.01,0.788,0.0,2418.8,2.9,2509.0,22.22,4.5
2021-05-15,0.118,5.392,0.0,1.01,0.75,0.0,6338.0,2.96,2481.0,22.22,4.59
2021-05-16,0.207,5.392,0.0,1.03,0.761,0.0,3672.0,3.0,2507.0,22.22,4.63
2021-05-17,0.267,5.392,0.0,1.02,0.758,0.0,2842.1,3.07,2479.0,22.22,4.74
2021-05-18,0.444,5.392,0.0,1.01,0.758,0.001,1704.6,3.19,2468.0,22.22,4.91
2021-05-19,0.444,5.392,0.0,0.98,0.762,0.001,1714.0,3.32,2474.0,22.22,5.08
2021-05-20,0.504,5.392,0.0,0.96,0.759,0.001,1506.0,3.46,2466.0,22.22,5.27
2021-05-21,0.533,5.392,0.0,0.93,0.789,0.001,1480.7,3.61,2450.0,22.22,5.44
2021-05-22,0.681,5.392,0.0,0.9,0.789,0.001,1157.9,3.69,2501.0,22.22,5.51
2021-05-23,0.533,5.392,0.0,0.85,0.789,0.001,1479.2,3.72,2489.0,22.22,5.54
2021-05-24,0.504,5.392,0.0,0.82,0.782,0.001,1551.7,3.84,2546.0,22.22,5.57
2021-05-25,0.355,5.392,0.0,0.79,0.788,0.0,2217.6,3.99,2621.0,22.22,5.75
2021-05-26,0.355,5.392,0.0,0.77,0.772,0.0,2172.1,4.15,2718.0,22.22,5.84
2021-05-27,0.267,5.392,0.0,0.75,0.778,0.0,2916.8,4.3,2759.0,22.22,6.04
2021-05-28,0.237,5.392,0.0,0.75,0.789,0.0,3329.8,4.5,2910.0,22.22,6.24
2021-05-29,0.118,5.392,0.0,0.74,0.845,0.0,7140.1,4.59,2977.0,22.22,6.33
2021-05-30,0.148,5.392,0.0,0.74,0.902,0.0,6091.0,4.63,3018.0,22.22,6.39
2021-05-31,0.118,5.392,0.0,0.73,0.93,0.0,7852.9,4.74,3062.0,22.22,6.55
2021-06-01,0.296,5.392,0.0,0.73,0.933,0.0,3148.4,4.91,3139.0,22.22,6.74
2021-06-02,0.326,5.392,0.0,0.73,0.958,0.0,2940.2,5.08,3206.0,22.22,6.94
2021-06-03,0.355,5.392,0.0,0.72,0.985,0.0,2771.9,5.27,3391.0,22.22,7.16
2021-06-04,0.355,5.392,0.0,0.71,0.974,0.0,2741.5,5.44,3385.0,22.22,7.35
2021-06-05,0.296,5.392,0.0,0.7,0.939,0.0,3169.3,5.51,3364.0,22.22,7.45
2021-06-06,0.267,5.392,0.0,0.72,0.904,0.0,3389.6,5.54,3364.0,22.22,7.52
2021-06-07,0.563,5.392,0.0,0.74,0.877,0.001,1557.5,5.57,3093.0,22.22,7.7
2021-06-08,0.504,5.392,0.0,0.77,0.845,0.001,1678.1,5.75,3150.0,22.22,7.93
2021-06-09,0.474,5.392,0.0,0.79,0.789,0.001,1664.5,5.84,2867.0,22.22,8.17
2021-06-10,0.592,5.392,0.0,0.81,0.78,0.001,1317.1,6.04,2872.0,22.22,8.44
2021-06-11,0.592,5.392,0.0,0.81,0.785,0.001,1324.5,6.24,2904.0,22.22,8.68
2021-06-12,0.77,5.392,0.0,0.81,0.798,0.001,1035.5,6.33,2974.0,22.22,8.81
2021-06-13,0.8,5.392,0.0,0.8,0.81,0.001,1013.2,6.39,3036.0,22.22,8.88
2021-06-14,0.504,5.392,0.0,0.8,0.815,0.001,1618.4,6.55,3409.0,22.22,9.01
2021-06-15,0.444,5.392,0.0,0.8,0.836,0.001,1881.0,6.74,3420.0,22.22,9.22
