date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-02-14,146.148,2.509,0.86,3.188,0.047,21.3,2213.0,60.19,3.05
2021-02-15,132.943,2.063,0.86,3.147,0.046,21.7,2214.0,60.19,3.18
2021-02-16,128.189,2.146,0.86,3.106,0.044,22.7,2195.0,60.19,3.34
2021-02-17,122.428,2.278,0.88,3.065,0.045,22.2,2188.0,60.19,3.53
2021-02-18,120.167,2.426,0.89,3.005,0.044,22.7,2191.0,60.19,3.71
2021-02-19,116.338,2.245,0.91,2.966,0.045,22.2,2154.0,60.19,3.87
2021-02-20,116.338,2.162,0.93,2.919,0.045,22.2,2156.0,60.19,3.9
2021-02-21,116.338,2.014,0.94,2.905,0.045,22.2,2149.0,60.19,3.92
2021-02-22,115.826,2.162,0.96,2.836,0.047,21.3,2164.0,60.19,4.03
2021-02-23,116.75,1.865,0.97,2.779,0.048,20.8,2188.0,60.19,4.18
2021-02-24,118.236,1.535,0.98,2.728,0.048,20.8,2245.0,60.19,4.32
2021-02-25,117.41,1.288,0.99,2.731,0.049,20.4,2252.0,60.19,4.47
2021-02-26,118.137,1.288,1.0,2.743,0.048,20.8,2258.0,60.19,4.59
2021-02-27,118.137,1.321,1.02,2.755,0.048,20.8,2247.0,60.19,4.62
2021-02-28,118.137,1.304,1.03,2.76,0.049,20.4,2238.0,60.19,4.63
2021-03-01,119.969,1.337,1.04,2.779,0.048,20.8,2276.0,60.19,4.74
2021-03-02,119.952,1.238,1.05,2.817,0.048,20.8,2271.0,60.19,4.9
2021-03-03,117.972,1.188,1.06,2.854,0.048,20.8,2338.0,60.19,5.09
2021-03-04,118.863,1.122,1.07,2.854,0.048,20.8,2404.0,60.19,5.27
2021-03-05,121.455,1.321,1.09,2.866,0.048,20.8,2476.0,60.19,5.42
2021-03-06,121.455,1.321,1.11,2.862,0.049,20.4,2469.0,60.19,5.45
2021-03-07,121.455,1.354,1.12,2.864,0.049,20.4,2476.0,60.19,5.46
2021-03-08,124.492,1.122,1.14,2.923,0.049,20.4,2495.0,60.19,5.58
2021-03-09,128.585,0.99,1.15,2.981,0.049,20.4,2564.0,60.19,5.73
2021-03-10,133.009,1.122,1.15,3.034,0.05,20.0,2522.0,60.19,5.92
2021-03-11,136.079,1.122,1.16,3.097,0.05,20.0,2502.0,60.19,6.07
2021-03-12,137.912,1.04,1.17,3.143,0.05,20.0,2468.0,60.19,6.2
2021-03-13,137.912,1.023,1.18,3.169,0.05,20.0,2466.0,60.19,6.23
2021-03-14,137.912,1.056,1.19,3.19,0.051,19.6,2445.0,60.19,6.25
2021-03-15,144.943,1.023,1.2,3.262,0.05,20.0,2414.0,60.19,6.38
2021-03-16,145.934,1.354,1.21,3.333,0.051,19.6,2388.0,60.19,6.53
2021-03-17,151.992,1.337,1.22,3.432,0.051,19.6,2401.0,60.19,6.72
2021-03-18,157.62,1.535,1.22,3.544,0.051,19.6,2429.0,60.19,6.91
2021-03-19,164.47,1.634,1.22,3.637,0.051,19.6,2455.0,60.19,6.96
2021-03-20,164.47,1.568,1.22,3.717,0.051,19.6,2461.0,60.19,6.98
2021-03-21,164.47,1.667,1.22,3.766,0.051,19.6,2449.0,60.19,7.01
2021-03-22,172.278,1.997,1.22,3.861,0.051,19.6,2509.0,60.19,7.03
2021-03-23,178.98,1.651,1.22,3.938,0.051,19.6,2568.0,60.19,7.24
2021-03-24,181.687,1.865,1.22,3.969,0.052,19.2,2682.0,60.19,7.48
2021-03-25,186.573,1.667,1.22,4.009,0.053,18.9,2750.0,60.19,7.71
2021-03-26,191.607,1.568,1.22,4.081,0.054,18.5,2854.0,60.19,7.9
2021-03-27,191.607,1.585,1.21,4.153,0.054,18.5,2910.0,60.19,7.95
2021-03-28,191.607,1.436,1.22,4.182,0.055,18.2,3004.0,60.19,7.98
2021-03-29,206.958,1.089,1.22,4.145,0.056,17.9,3127.0,60.19,8.12
2021-03-30,208.262,1.238,1.17,4.236,0.056,17.9,3261.0,60.19,8.3
2021-03-31,214.683,1.007,1.15,4.519,0.053,18.9,3302.0,60.19,8.5
2021-04-01,213.396,1.089,1.14,4.745,0.051,19.6,3345.0,60.19,8.67
2021-04-02,216.647,0.875,1.12,4.478,0.051,19.6,2941.0,60.19,8.84
2021-04-03,216.647,0.858,1.11,4.513,0.05,20.0,2887.0,60.19,8.88
2021-04-04,216.647,0.875,1.09,4.546,0.05,20.0,2832.0,60.19,8.9
2021-04-05,141.163,1.188,1.09,4.196,0.051,19.6,2403.0,60.19,9.07
2021-04-06,190.831,1.337,1.21,4.036,0.053,18.9,2367.0,60.19,9.27
2021-04-07,189.016,1.568,1.23,3.745,0.059,16.9,2456.0,60.19,9.54
2021-04-08,196.955,1.568,1.24,3.434,0.065,15.4,2635.0,60.19,9.79
2021-04-09,201.395,1.634,1.24,3.557,0.069,14.5,3246.0,60.19,10.0
2021-04-10,201.395,1.667,1.23,3.434,0.073,13.7,3378.0,60.19,10.06
2021-04-11,201.395,1.651,1.23,3.352,0.076,13.2,3435.0,60.19,10.11
2021-04-12,293.551,1.469,1.23,3.531,0.078,12.8,4050.0,60.19,10.31
2021-04-13,249.132,1.139,1.17,3.425,0.081,12.3,4297.0,60.19,10.57
2021-04-14,254.084,0.924,1.15,3.282,0.083,12.0,4504.0,60.19,10.84
2021-04-15,250.403,0.875,1.13,3.192,0.083,12.0,4594.0,60.19,11.07
2021-04-16,245.22,0.908,1.12,3.14,0.083,12.0,4691.0,60.19,11.19
2021-04-17,245.22,0.875,1.11,3.099,0.083,12.0,4747.0,60.19,11.23
2021-04-18,245.22,0.908,1.1,3.081,0.083,12.0,4778.0,60.19,11.24
2021-04-19,234.029,0.908,1.09,3.045,0.084,11.9,4898.0,50.93,11.34
2021-04-20,232.378,0.99,1.07,2.992,0.084,11.9,5058.0,50.93,11.56
2021-04-21,233.781,0.957,1.07,2.963,0.086,11.6,5293.0,50.93,11.89
2021-04-22,234.425,0.941,1.07,2.967,0.086,11.6,5545.0,50.93,12.22
2021-04-23,232.906,1.007,1.06,2.979,0.086,11.6,5726.0,50.93,12.54
2021-04-24,232.906,1.469,1.05,3.01,0.086,11.6,5869.0,50.93,12.65
2021-04-25,232.906,1.023,1.05,3.02,0.086,11.6,5985.0,50.93,12.72
2021-04-26,239.641,1.023,1.04,3.028,0.085,11.8,6060.0,50.93,13.08
2021-04-27,239.542,0.974,1.02,3.047,0.082,12.2,6214.0,50.93,13.52
2021-04-28,230.199,1.172,0.99,3.061,0.08,12.5,6306.0,50.93,14.03
2021-04-29,226.914,1.155,0.98,3.057,0.078,12.8,6290.0,50.93,14.2
2021-04-30,222.26,1.089,0.96,3.056,0.075,13.3,6256.0,50.93,14.6
2021-05-01,222.26,0.644,0.95,3.021,0.074,13.5,6312.0,50.93,14.73
2021-05-02,222.26,1.056,0.93,3.001,0.073,13.7,6300.0,50.93,14.8
2021-05-03,200.223,1.188,0.92,2.973,0.071,14.1,6363.0,50.93,15.25
2021-05-04,191.937,1.254,0.91,2.937,0.07,14.3,6391.0,50.93,15.77
2021-05-05,186.573,1.122,0.91,2.916,0.068,14.7,6496.0,50.93,16.37
2021-05-06,180.317,1.155,0.91,2.905,0.066,15.2,6763.0,50.93,16.91
2021-05-07,175.612,1.155,0.9,2.91,0.065,15.4,7094.0,50.93,17.4
2021-05-08,175.612,1.172,0.9,2.901,0.065,15.4,7264.0,50.93,17.58
2021-05-09,175.612,1.188,0.9,2.901,0.064,15.6,7387.0,50.93,17.68
2021-05-10,170.743,0.99,0.9,2.976,0.061,16.4,7699.0,50.93,17.89
2021-05-11,166.484,0.891,0.88,3.156,0.056,17.9,8011.0,50.93,18.45
2021-05-12,162.259,0.66,0.87,3.35,0.052,19.2,8330.0,50.93,19.09
2021-05-13,134.412,0.545,0.86,3.088,0.051,19.6,7682.0,50.93,19.63
2021-05-14,146.858,0.462,0.89,2.989,0.05,20.0,7634.0,50.93,20.2
2021-05-15,146.858,0.429,0.89,3.002,0.048,20.8,7680.0,50.93,20.49
2021-05-16,146.858,0.413,0.89,3.008,0.047,21.3,7686.0,50.93,20.65
2021-05-17,129.807,0.479,0.89,2.953,0.048,20.8,7738.0,50.93,21.18
2021-05-18,127.578,0.512,0.86,2.796,0.05,20.0,7803.0,50.93,21.75
2021-05-19,127.826,0.512,0.87,2.684,0.051,19.6,7946.0,50.93,22.42
2021-05-20,147.601,0.528,0.86,3.071,0.047,21.3,8891.0,50.93,22.95
2021-05-21,109.636,0.627,0.84,3.26,0.044,22.7,9203.0,50.93,23.54
2021-05-22,129.46,0.743,0.86,3.286,0.042,23.8,9249.0,50.93,23.86
2021-05-23,129.46,0.743,0.84,3.279,0.041,24.4,9341.0,50.93,24.02
2021-05-24,85.718,0.578,0.84,3.041,0.039,25.6,8811.0,50.93,24.54
2021-05-25,110.973,0.561,0.91,2.99,0.038,26.3,8844.0,50.93,25.14
2021-05-26,101.762,0.545,0.9,2.913,0.037,27.0,8791.0,50.93,25.8
2021-05-27,98.362,0.627,0.88,2.75,0.037,27.0,8773.0,50.93,26.26
2021-05-28,113.416,0.545,0.86,2.623,0.037,27.0,8809.0,50.93,26.76
2021-05-29,93.592,0.495,0.83,2.577,0.037,27.0,8919.0,50.93,27.08
2021-05-30,93.592,0.495,0.81,2.554,0.037,27.0,8988.0,50.93,27.3
2021-05-31,121.933,0.512,0.8,2.748,0.036,27.8,9662.0,48.15,27.76
2021-06-01,88.689,0.66,0.76,2.77,0.033,30.3,9754.0,48.15,28.29
2021-06-02,84.084,0.611,0.74,2.806,0.03,33.3,9949.0,48.15,28.96
2021-06-03,77.415,0.495,0.72,2.744,0.028,35.7,9949.0,48.15,29.56
2021-06-04,70.466,0.495,0.7,2.702,0.027,37.0,10052.0,48.15,30.15
2021-06-05,70.466,0.446,0.69,2.676,0.026,38.5,10369.0,48.15,30.45
2021-06-06,70.466,0.429,0.68,2.671,0.025,40.0,10390.0,48.15,30.66
2021-06-07,59.902,0.512,0.67,2.612,0.023,43.5,10520.0,48.15,31.11
2021-06-08,54.504,0.297,0.66,2.518,0.023,43.5,10587.0,48.15,31.66
2021-06-09,42.669,0.413,0.66,2.378,0.023,43.5,10536.0,48.15,32.27
2021-06-10,47.803,0.413,0.68,2.376,0.022,45.5,10513.0,48.15,32.84
2021-06-11,45.541,0.462,0.67,2.368,0.02,50.0,10481.0,48.15,33.39
2021-06-12,45.541,0.446,0.65,2.36,0.02,50.0,10436.0,48.15,33.66
2021-06-13,45.541,0.446,0.63,2.342,0.019,52.6,10454.0,48.15,33.86
