date,new_deaths_smoothed_per_million,reproduction_rate,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-02-12,1.198,1.0,1.593,0.059,17.0,0.4,1431.0,69.44,1.84
2021-02-13,1.172,1.0,1.568,0.06,16.8,0.54,1877.0,69.44,1.97
2021-02-14,1.142,0.99,1.525,0.061,16.5,0.58,2057.0,69.44,1.99
2021-02-15,1.121,0.99,1.486,0.062,16.1,0.68,2571.0,72.22,2.13
2021-02-16,1.108,0.98,1.449,0.063,15.9,0.77,3215.0,72.22,2.31
2021-02-17,1.093,0.96,1.417,0.063,15.9,0.88,4113.0,72.22,2.46
2021-02-18,1.074,0.97,1.392,0.063,15.8,1.03,5165.0,72.22,2.62
2021-02-19,1.048,1.0,1.37,0.064,15.6,1.16,5009.0,72.22,2.74
2021-02-20,1.026,1.03,1.363,0.065,15.5,1.22,4783.0,72.22,2.81
2021-02-21,0.998,1.05,1.358,0.065,15.3,1.25,4653.0,72.22,2.84
2021-02-22,0.976,1.08,1.362,0.065,15.3,1.3,4498.0,72.22,2.89
2021-02-23,0.95,1.11,1.375,0.066,15.1,1.4,4503.0,72.22,3.02
2021-02-24,0.927,1.13,1.387,0.068,14.7,1.5,4059.0,72.22,3.1
2021-02-25,0.91,1.14,1.406,0.07,14.3,1.66,3531.0,72.22,3.2
2021-02-26,0.896,1.14,1.425,0.071,14.0,1.84,3281.0,72.22,3.42
2021-02-27,0.881,1.14,1.437,0.072,13.8,1.97,3356.0,72.22,3.6
2021-02-28,0.862,1.16,1.451,0.074,13.6,1.99,3347.0,72.22,3.67
2021-03-01,0.847,1.18,1.471,0.075,13.4,2.13,3282.0,66.67,3.97
2021-03-02,0.835,1.2,1.491,0.077,13.0,2.31,3022.0,64.81,4.44
2021-03-03,0.823,1.19,1.514,0.078,12.8,2.46,2876.0,64.81,4.94
2021-03-04,0.815,1.19,1.534,0.079,12.7,2.62,2677.0,64.81,5.26
2021-03-05,0.794,1.19,1.55,0.08,12.5,2.74,2469.0,64.81,5.73
2021-03-06,0.783,1.2,1.572,0.082,12.2,2.81,2319.0,64.81,5.94
2021-03-07,0.781,1.22,1.605,0.083,12.0,2.84,2320.0,64.81,5.98
2021-03-08,0.772,1.23,1.621,0.086,11.6,2.89,2079.0,64.81,6.19
2021-03-09,0.769,1.22,1.63,0.087,11.4,3.02,1947.0,72.22,6.52
2021-03-10,0.772,1.22,1.642,0.09,11.1,3.1,1766.0,72.22,6.92
2021-03-11,0.764,1.21,1.656,0.092,10.9,3.2,1596.0,72.22,7.19
2021-03-12,0.771,1.22,1.674,0.095,10.6,3.42,1670.0,72.22,7.46
2021-03-13,0.772,1.22,1.694,0.097,10.3,3.6,1761.0,72.22,7.63
2021-03-15,0.776,1.24,1.719,0.1,10.0,3.97,2134.0,72.22,7.8
2021-03-16,0.784,1.25,1.749,0.101,9.9,4.44,2496.0,72.22,7.93
2021-03-17,0.794,1.28,1.787,0.103,9.7,4.94,3018.0,72.22,8.11
2021-03-18,0.825,1.31,1.851,0.105,9.5,5.26,3267.0,72.22,8.23
2021-03-19,0.86,1.33,1.917,0.107,9.4,5.73,3561.0,72.22,8.3
2021-03-20,0.911,1.34,1.985,0.108,9.3,5.94,3568.0,72.22,8.45
2021-03-21,0.969,1.35,2.082,0.109,9.2,5.98,3499.0,72.22,8.46
2021-03-22,1.06,1.35,2.167,0.11,9.1,6.19,3395.0,72.22,8.53
2021-03-23,1.174,1.37,2.258,0.112,8.9,6.52,3206.0,72.22,8.63
2021-03-24,1.297,1.38,2.35,0.116,8.6,6.92,3096.0,72.22,8.71
2021-03-25,1.426,1.37,2.414,0.119,8.4,7.19,3042.0,72.22,8.85
2021-03-26,1.538,1.35,2.471,0.122,8.2,7.46,2789.0,72.22,8.94
2021-03-27,1.633,1.35,2.527,0.125,8.0,7.63,2749.0,72.22,8.99
2021-03-29,1.782,1.36,2.619,0.133,7.5,7.8,2851.0,72.22,9.04
2021-03-30,1.811,1.36,2.659,0.138,7.3,7.93,2900.0,72.22,9.1
2021-03-31,1.821,1.36,2.69,0.142,7.0,8.11,3159.0,72.22,9.15
2021-04-01,1.853,1.36,2.725,0.148,6.8,8.23,3254.0,72.22,9.17
2021-04-02,1.897,1.36,2.773,0.153,6.5,8.3,3093.0,72.22,9.22
2021-04-03,1.956,1.36,2.816,0.16,6.3,8.45,3303.0,72.22,9.23
2021-04-04,2.011,1.34,2.861,0.165,6.1,8.46,3188.0,72.22,9.23
2021-04-05,2.077,1.31,2.895,0.169,5.9,8.53,3463.0,72.22,9.27
2021-04-06,2.172,1.31,2.956,0.173,5.8,8.63,3500.0,72.22,9.32
2021-04-07,2.382,1.31,3.061,0.175,5.7,8.71,3168.0,72.22,9.35
2021-04-08,2.52,1.3,3.164,0.178,5.6,8.85,3288.0,72.22,9.41
2021-04-09,2.646,1.28,3.259,0.179,5.6,8.94,3393.0,72.22,9.42
2021-04-10,2.751,1.25,3.35,0.179,5.6,8.99,3121.0,72.22,9.43
2021-04-11,2.839,1.23,3.431,0.179,5.6,9.0,3069.0,72.22,9.44
2021-04-12,2.924,1.21,3.525,0.18,5.6,9.04,2940.0,72.22,9.61
2021-04-13,3.029,1.19,3.585,0.181,5.5,9.1,2871.0,83.33,9.84
2021-04-14,3.034,1.18,3.599,0.184,5.4,9.15,2656.0,83.33,10.22
2021-04-15,3.1,1.17,3.622,0.186,5.4,9.17,2296.0,83.33,10.58
2021-04-16,3.161,1.16,3.647,0.188,5.3,9.22,2526.0,83.33,10.8
2021-04-17,3.228,1.14,3.676,0.191,5.2,9.23,2527.0,83.33,10.85
2021-04-18,3.366,1.1,3.687,0.193,5.2,9.23,2499.0,83.33,10.92
2021-04-19,3.532,1.06,3.717,0.191,5.2,9.27,2281.0,83.33,11.1
2021-04-20,3.655,1.02,3.744,0.191,5.2,9.32,2067.0,83.33,11.38
2021-04-21,3.796,0.98,3.758,0.19,5.3,9.35,2041.0,83.33,11.67
2021-04-22,3.892,0.93,3.748,0.187,5.3,9.41,2174.0,83.33,11.95
2021-04-23,3.984,0.89,3.717,0.183,5.5,9.42,1822.0,83.33,12.11
2021-04-24,4.07,0.84,3.653,0.176,5.7,9.43,1916.0,83.33,12.22
2021-04-25,4.119,0.82,3.583,0.171,5.9,9.44,1966.0,83.33,12.25
2021-04-26,4.14,0.8,3.499,0.166,6.0,9.61,2235.0,87.04,12.33
2021-04-27,4.14,0.78,3.431,0.161,6.2,9.84,2363.0,87.04,12.47
2021-04-28,4.104,0.76,3.371,0.153,6.5,10.22,2804.0,87.04,12.61
2021-04-29,4.079,0.75,3.313,0.147,6.8,10.58,3115.0,87.04,12.65
2021-04-30,4.165,0.72,3.251,0.141,7.1,10.8,3268.0,87.04,12.74
2021-05-01,4.223,0.71,3.185,0.137,7.3,10.85,3101.0,87.04,12.8
2021-05-02,4.211,0.7,3.151,0.132,7.6,10.92,3177.0,87.04,12.84
2021-05-03,4.201,0.68,3.108,0.127,7.9,11.1,3218.0,87.04,13.0
2021-05-04,4.184,0.67,3.039,0.122,8.2,11.38,3473.0,87.04,13.44
2021-05-05,4.209,0.65,2.948,0.118,8.5,11.67,3339.0,87.04,13.58
2021-05-06,4.15,0.63,2.906,0.11,9.1,11.95,3218.0,87.04,13.72
2021-05-07,3.953,0.62,2.883,0.104,9.6,12.11,3175.0,87.04,14.08
2021-05-08,3.798,0.6,2.86,0.099,10.1,12.22,3310.0,87.04,14.11
2021-05-09,3.701,0.58,2.788,0.095,10.6,12.25,3239.0,87.04,14.23
2021-05-10,3.591,0.56,2.737,0.09,11.2,12.33,2920.0,87.04,14.28
2021-05-11,3.493,0.54,2.711,0.081,12.3,12.47,2455.0,87.04,14.4
2021-05-12,3.283,0.53,2.709,0.073,13.7,12.61,2109.0,87.04,14.45
2021-05-13,3.171,0.54,2.621,0.069,14.6,12.65,1583.0,87.04,14.5
2021-05-14,3.11,0.57,2.539,0.065,15.4,12.74,1475.0,87.04,14.56
2021-05-15,3.034,0.6,2.498,0.062,16.3,12.8,1413.0,87.04,14.59
2021-05-16,2.932,0.62,2.506,0.058,17.2,12.84,1446.0,87.04,14.71
2021-05-17,2.832,0.64,2.495,0.056,17.8,13.0,1580.0,76.85,14.87
2021-05-18,2.705,0.65,2.479,0.055,18.3,13.44,2301.0,76.85,14.98
2021-05-19,2.707,0.65,2.463,0.054,18.5,13.58,2494.0,76.85,15.1
2021-05-20,2.654,0.65,2.493,0.052,19.3,13.72,2848.0,76.85,15.29
2021-05-21,2.607,0.66,2.52,0.05,20.0,14.08,3698.0,76.85,15.38
2021-05-22,2.598,0.67,2.54,0.048,20.9,14.11,3610.0,76.85,15.49
2021-05-23,2.554,0.69,2.554,0.046,21.8,14.23,3855.0,76.85,15.6
2021-05-24,2.478,0.7,2.571,0.044,22.8,14.28,3744.0,76.85,15.72
2021-05-25,2.431,0.72,2.58,0.042,23.8,14.4,3152.0,74.07,15.83
2021-05-26,2.317,0.73,2.585,0.04,25.0,14.45,2862.0,74.07,15.95
2021-05-27,2.277,0.74,2.585,0.039,25.4,14.5,2578.0,74.07,16.05
2021-05-28,2.192,0.75,2.587,0.038,26.2,14.56,1668.0,74.07,16.13
2021-05-29,2.033,0.76,2.598,0.037,26.7,14.59,1666.0,74.07,16.2
2021-05-30,1.926,0.76,2.612,0.037,27.3,14.71,1545.0,74.07,16.28
2021-05-31,1.831,0.76,2.617,0.036,27.9,14.87,1711.0,74.07,16.38
2021-06-01,1.753,0.76,2.618,0.034,29.1,14.98,1656.0,64.81,16.57
2021-06-02,1.662,0.76,2.623,0.033,30.0,15.1,1941.0,64.81,16.7
2021-06-03,1.545,0.77,2.628,0.032,31.2,15.29,2581.0,64.81,16.86
2021-06-04,1.426,0.78,2.636,0.031,32.3,15.38,2690.0,64.81,16.98
2021-06-05,1.35,0.79,2.625,0.03,33.2,15.49,3004.0,64.81,17.04
2021-06-06,1.286,0.81,2.601,0.029,34.1,15.6,3212.0,64.81,17.18
2021-06-07,1.233,0.82,2.599,0.029,34.7,15.72,3514.0,64.81,17.28
2021-06-08,1.16,0.84,2.602,0.028,35.1,15.83,3750.0,64.81,17.33
2021-06-09,1.118,0.86,2.602,0.028,35.7,15.95,3947.0,64.81,17.41
2021-06-10,1.087,0.88,2.603,0.028,35.9,16.05,4028.0,64.81,17.48
2021-06-11,1.045,0.89,2.602,0.028,35.8,16.13,4462.0,64.81,17.54
2021-06-12,1.016,0.89,2.607,0.028,35.9,16.2,4831.0,64.81,17.6
2021-06-13,0.943,0.89,2.624,0.027,36.5,16.28,5412.0,64.81,17.69
2021-06-14,0.915,0.9,2.626,0.027,36.5,16.38,5982.0,64.81,17.79
2021-06-15,0.911,0.9,2.623,0.027,37.1,16.57,7879.0,64.81,17.85
