date,reproduction_rate,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-04,1.34,11.167,0.06,16.5,0.0,15035.0,82.41,5.23
2021-01-05,1.32,11.446,0.063,15.9,0.0,14522.0,82.41,6.82
2021-01-06,1.29,11.768,0.066,15.2,0.0,13702.0,82.41,8.48
2021-01-07,1.28,12.005,0.066,15.2,0.0,13003.0,85.19,10.37
2021-01-08,1.27,12.265,0.066,15.2,0.0,12922.0,85.19,11.19
2021-01-09,1.26,12.317,0.068,14.7,0.0,12474.0,85.19,11.81
2021-01-10,1.24,12.589,0.065,15.3,0.07,10726.0,85.19,13.43
2021-01-11,1.22,12.831,0.068,14.7,0.29,8884.0,85.19,15.04
2021-01-12,1.2,12.905,0.069,14.5,0.7,7807.0,85.19,16.5
2021-01-13,1.17,12.895,0.072,13.8,1.36,7900.0,85.19,17.94
2021-01-14,1.14,13.009,0.075,13.4,2.15,8052.0,85.19,19.44
2021-01-15,1.11,12.762,0.075,13.4,2.57,8056.0,85.19,20.19
2021-01-16,1.09,12.622,0.076,13.2,2.87,8235.0,85.19,20.68
2021-01-17,1.07,12.094,0.082,12.1,3.84,10037.0,85.19,21.37
2021-01-18,1.03,11.693,0.081,12.4,5.23,12504.0,85.19,21.77
2021-01-19,1.0,11.282,0.081,12.3,6.82,14989.0,85.19,22.13
2021-01-20,0.99,10.805,0.085,11.7,8.48,16824.0,85.19,22.72
2021-01-21,0.97,10.107,0.087,11.5,10.37,18615.0,85.19,23.39
2021-01-22,0.95,9.844,0.091,11.0,11.19,19310.0,85.19,23.72
2021-01-23,0.94,9.171,0.091,11.0,11.81,19937.0,85.19,23.98
2021-01-24,0.93,9.006,0.084,11.9,13.43,20871.0,85.19,24.77
2021-01-25,0.94,8.834,0.08,12.5,15.04,21369.0,85.19,25.52
2021-01-26,0.98,8.628,0.084,11.9,16.5,21277.0,85.19,26.3
2021-01-27,1.0,8.508,0.089,11.3,17.94,20988.0,85.19,27.13
2021-01-28,0.99,8.44,0.09,11.1,19.44,20594.0,85.19,27.96
2021-01-29,0.98,8.247,0.09,11.1,20.19,20470.0,85.19,28.39
2021-01-30,0.97,8.18,0.09,11.1,20.68,20200.0,85.19,28.74
2021-01-31,0.97,8.189,0.093,10.8,21.37,18933.0,87.04,29.54
2021-02-01,0.98,8.214,0.103,9.7,21.77,17243.0,87.04,30.41
2021-02-02,0.97,8.301,0.1,10.0,22.13,15531.0,87.04,31.31
2021-02-03,0.95,8.306,0.094,10.6,22.72,14028.0,87.04,32.18
2021-02-04,0.94,8.407,0.092,10.9,23.39,12717.0,87.04,33.1
2021-02-05,0.92,8.568,0.09,11.1,23.72,12079.0,87.04,33.54
2021-02-06,0.91,8.604,0.09,11.1,23.98,11529.0,87.04,33.87
2021-02-07,0.89,8.586,0.094,10.7,24.77,11364.0,64.81,34.78
2021-02-08,0.86,8.557,0.085,11.7,25.52,11466.0,64.81,35.7
2021-02-09,0.85,8.439,0.086,11.7,26.3,12004.0,64.81,36.52
2021-02-10,0.83,8.293,0.081,12.3,27.13,12515.0,64.81,37.24
2021-02-11,0.82,8.158,0.079,12.6,27.96,12880.0,62.96,37.99
2021-02-12,0.81,7.885,0.079,12.6,28.39,13109.0,62.96,38.36
2021-02-13,0.8,7.817,0.077,13.1,28.74,13341.0,62.96,38.6
2021-02-14,0.79,7.709,0.069,14.5,29.54,13690.0,62.96,39.24
2021-02-15,0.8,7.373,0.076,13.2,30.41,14237.0,62.96,39.95
2021-02-16,0.79,7.248,0.07,14.2,31.31,14698.0,62.96,40.7
2021-02-17,0.78,7.033,0.068,14.7,32.18,14613.0,62.96,41.47
2021-02-18,0.79,6.639,0.067,14.8,33.1,14548.0,62.96,42.38
2021-02-19,0.8,6.559,0.065,15.4,33.54,14568.0,62.96,42.84
2021-02-20,0.83,6.472,0.058,17.3,33.87,14609.0,62.96,43.13
2021-02-21,0.88,6.518,0.065,15.4,34.78,14841.0,62.96,43.97
2021-02-22,0.9,6.51,0.063,16.0,35.7,14980.0,62.96,44.82
2021-02-23,0.9,6.514,0.063,15.8,36.52,14750.0,62.96,45.7
2021-02-24,0.9,6.707,0.062,16.2,37.24,14529.0,62.96,46.38
2021-02-25,0.9,6.999,0.061,16.4,37.99,13994.0,78.7,47.17
2021-02-26,0.9,7.047,0.062,16.3,38.36,13665.0,78.7,47.65
2021-02-27,0.9,7.126,0.067,15.0,38.6,13321.0,78.7,47.94
2021-02-28,0.91,7.198,0.059,16.9,39.24,12301.0,62.96,48.79
2021-03-01,0.92,7.539,0.055,18.3,39.95,11337.0,62.96,49.7
2021-03-02,0.93,7.85,0.054,18.5,40.7,10645.0,62.96,50.52
2021-03-03,0.91,8.164,0.052,19.2,41.47,10391.0,62.96,51.2
2021-03-04,0.9,8.527,0.05,20.1,42.38,10428.0,62.96,51.87
2021-03-05,0.88,9.121,0.046,21.5,42.84,10426.0,62.96,52.19
2021-03-06,0.86,9.396,0.046,21.6,43.13,10368.0,62.96,52.37
2021-03-07,0.83,9.557,0.045,22.5,43.97,10496.0,60.19,52.83
2021-03-08,0.81,9.685,0.043,23.3,44.82,10388.0,60.19,53.3
2021-03-09,0.78,9.722,0.039,25.6,45.7,10346.0,60.19,53.38
2021-03-10,0.76,9.786,0.037,26.9,46.38,9904.0,60.19,53.92
2021-03-11,0.73,9.673,0.036,28.1,47.17,9469.0,60.19,54.33
2021-03-12,0.7,9.406,0.035,28.9,47.65,9385.0,60.19,54.48
2021-03-13,0.67,9.177,0.033,30.8,47.94,9338.0,60.19,54.53
2021-03-14,0.64,9.084,0.032,31.6,48.79,9190.0,60.19,54.58
2021-03-15,0.62,8.924,0.029,34.2,49.7,9152.0,60.19,54.92
2021-03-16,0.59,8.593,0.028,36.1,50.52,8936.0,60.19,55.18
2021-03-17,0.57,8.287,0.025,39.6,51.2,8849.0,60.19,55.4
2021-03-18,0.55,7.958,0.023,42.6,51.87,8550.0,60.19,55.62
2021-03-19,0.54,7.569,0.023,44.1,52.19,8257.0,60.19,55.71
2021-03-20,0.52,7.439,0.021,47.8,52.37,8047.0,60.19,55.74
2021-03-21,0.5,7.263,0.02,50.0,52.83,7366.0,60.19,56.0
2021-03-22,0.49,6.789,0.019,52.4,53.3,6636.0,60.19,56.25
2021-03-23,0.47,6.228,0.019,54.0,53.38,5314.0,60.19,56.44
2021-03-24,0.45,5.646,0.017,58.5,53.92,4997.0,60.19,56.61
2021-03-25,0.46,5.644,0.015,64.7,54.33,4526.0,60.19,56.81
2021-03-26,0.46,5.425,0.015,68.8,54.48,4239.0,60.19,56.88
2021-03-27,0.45,5.386,0.013,78.4,54.53,4000.0,60.19,56.92
2021-03-28,0.46,4.782,0.014,69.8,54.58,3228.0,60.19,57.08
2021-03-29,0.45,4.482,0.012,80.8,54.92,2946.0,60.19,57.23
2021-03-30,0.46,4.537,0.011,93.2,55.18,3278.0,60.19,57.29
2021-03-31,0.48,4.443,0.011,87.5,55.4,2784.0,60.19,57.34
2021-04-01,0.49,3.954,0.011,91.8,55.62,2473.0,60.19,57.35
2021-04-02,0.51,3.71,0.01,96.7,55.71,2366.0,60.19,57.42
2021-04-03,0.52,3.632,0.012,81.9,55.74,2338.0,60.19,57.45
2021-04-04,0.53,3.985,0.01,103.9,56.0,2761.0,60.19,57.53
2021-04-05,0.53,4.245,0.01,103.8,56.25,2673.0,60.19,57.61
2021-04-06,0.54,4.498,0.008,119.5,56.44,2597.0,60.19,57.69
2021-04-07,0.54,4.735,0.007,135.9,56.61,2541.0,60.19,57.77
2021-04-08,0.54,4.854,0.007,144.9,56.81,2532.0,60.19,57.85
2021-04-09,0.55,4.891,0.007,150.6,56.88,2511.0,60.19,57.89
2021-04-10,0.56,4.875,0.006,169.5,56.92,2522.0,60.19,57.91
2021-04-11,0.57,4.976,0.006,178.8,57.08,2369.0,60.19,57.98
2021-04-12,0.58,5.03,0.005,196.0,57.23,2212.0,60.19,58.07
2021-04-13,0.6,5.295,0.004,226.9,57.29,1965.0,60.19,58.15
2021-04-14,0.62,5.36,0.004,236.3,57.34,1714.0,60.19,58.23
2021-04-15,0.62,4.885,0.005,209.0,57.35,1301.0,60.19,58.31
2021-04-16,0.62,4.795,0.004,230.2,57.42,1305.0,60.19,58.35
2021-04-17,0.63,4.795,0.004,271.5,57.45,1267.0,60.19,58.36
2021-04-18,0.64,4.769,0.004,259.4,57.53,1124.0,58.33,58.42
2021-04-19,0.65,4.629,0.004,264.6,57.61,983.0,58.33,58.49
2021-04-20,0.67,4.282,0.004,253.6,57.69,1022.0,58.33,58.54
2021-04-21,0.68,4.109,0.004,276.0,57.77,1096.0,58.33,58.59
2021-04-22,0.7,4.452,0.003,298.0,57.85,1300.0,58.33,58.62
2021-04-23,0.67,4.535,0.003,287.4,57.89,1237.0,58.33,58.65
2021-04-24,0.65,4.496,0.004,249.7,57.91,1224.0,58.33,58.65
2021-04-25,0.62,4.392,0.004,272.4,57.98,1178.0,58.33,58.7
2021-04-26,0.61,4.178,0.004,284.8,58.07,1176.0,58.33,58.76
2021-04-27,0.61,3.834,0.004,270.1,58.15,1144.0,58.33,58.8
2021-04-28,0.6,3.658,0.004,266.7,58.23,1117.0,58.33,58.83
2021-04-29,0.59,3.652,0.003,368.8,58.31,1085.0,52.78,58.87
2021-04-30,0.59,3.662,0.003,376.7,58.35,1067.0,52.78,58.89
2021-05-01,0.58,3.67,0.002,438.6,58.36,1056.0,52.78,58.89
2021-05-02,0.6,3.632,0.002,415.2,58.42,1016.0,52.78,58.91
2021-05-03,0.6,3.6,0.002,424.3,58.49,949.0,52.78,58.91
2021-05-04,0.6,3.688,0.002,465.5,58.54,902.0,52.78,58.97
2021-05-05,0.59,3.75,0.002,511.7,58.59,829.0,52.78,59.03
2021-05-06,0.58,3.702,0.002,532.8,58.62,747.0,52.78,59.07
2021-05-07,0.57,3.664,0.002,588.9,58.65,735.0,52.78,59.08
2021-05-08,0.57,3.703,0.002,554.0,58.65,725.0,52.78,59.09
2021-05-09,0.58,3.671,0.002,654.2,58.7,696.0,52.78,59.12
2021-05-10,0.59,3.716,0.001,670.1,58.76,667.0,52.78,59.16
2021-05-11,0.59,3.657,0.001,731.3,58.8,637.0,52.78,59.19
2021-05-12,0.59,3.506,0.001,807.6,58.83,603.0,52.78,59.22
2021-05-13,0.59,3.341,0.001,876.2,58.87,585.0,52.78,59.25
2021-05-14,0.61,3.137,0.001,860.0,58.89,555.0,52.78,59.27
2021-05-15,0.64,3.04,0.001,793.9,58.89,550.0,52.78,59.27
2021-05-16,0.65,2.859,0.001,770.0,58.91,454.0,52.78,59.29
2021-05-17,0.67,2.345,0.001,703.5,58.91,349.0,52.78,59.31
2021-05-18,0.7,2.208,0.001,800.9,58.97,358.0,52.78,59.33
2021-05-19,0.75,2.274,0.001,721.4,59.03,391.0,52.78,59.35
2021-05-20,0.75,2.328,0.001,691.3,59.07,400.0,52.78,59.36
2021-05-21,0.75,2.439,0.001,700.4,59.08,402.0,52.78,59.37
2021-05-22,0.74,2.47,0.001,787.6,59.09,405.0,52.78,59.37
2021-05-23,0.74,2.529,0.001,766.1,59.12,467.0,52.78,59.38
2021-05-24,0.74,2.997,0.001,873.1,59.16,541.0,52.78,59.39
2021-05-25,0.72,3.039,0.001,829.4,59.19,499.0,52.78,59.4
2021-05-26,0.7,2.928,0.001,948.8,59.22,443.0,52.78,59.41
2021-05-27,0.68,3.023,0.001,1166.5,59.25,423.0,52.78,59.42
2021-05-28,0.69,3.113,0.001,1319.0,59.27,417.0,52.78,59.43
2021-05-29,0.71,3.155,0.001,1318.5,59.27,414.0,52.78,59.43
2021-05-30,0.73,3.202,0.001,1395.6,59.29,382.0,52.78,59.44
2021-05-31,0.74,3.063,0.001,1718.4,59.31,349.0,52.78,59.46
2021-06-01,0.79,2.991,0.001,1485.3,59.33,329.0,29.63,59.47
2021-06-02,0.77,2.827,0.001,1571.4,59.35,315.0,29.63,59.48
2021-06-03,0.77,2.603,0.001,1408.3,59.36,286.0,29.63,59.49
2021-06-04,0.8,2.352,0.001,1344.4,59.37,279.0,29.63,59.5
2021-06-05,0.84,2.31,0.001,1238.8,59.37,278.0,29.63,59.5
2021-06-06,0.86,2.239,0.001,1200.3,59.38,305.0,29.63,59.51
2021-06-07,0.87,2.172,0.001,1196.6,59.39,328.0,29.63,59.52
2021-06-08,0.92,2.155,0.001,1764.4,59.4,357.0,29.63,59.54
2021-06-09,1.02,2.143,0.001,1909.4,59.41,388.0,29.63,59.55
2021-06-10,1.17,2.174,0.001,1344.4,59.42,413.0,29.63,59.56
2021-06-11,1.19,2.174,0.001,1155.2,59.43,415.0,29.63,59.57
2021-06-12,1.19,2.23,0.001,1422.5,59.43,416.0,29.63,59.57
2021-06-13,1.25,2.28,0.001,1454.1,59.44,402.0,29.63,59.61
2021-06-14,1.32,2.367,0.001,1365.9,59.46,391.0,29.63,59.65
2021-06-15,1.42,2.423,0.001,1265.6,59.47,384.0,22.22,59.69
